,accident_id,type_vehicle,model,brand,color,type_license,license_antiguity
29,2018S009079    ,Motocicleta,NSC 110,HONDA,Gris,B,17
30,2018S009079    ,Turisme,GOLF,VOLKSWAGEN,Negre,B,12
31,2018S004999    ,Motocicleta,SH 125,HONDA,Blanc,B,21
32,2018S004999    ,Turisme,OCTAVIA,SKODA,Negre,B,29
33,2018S009914    ,Motocicleta,EVO 125,SYM,Negre,B,5
34,2018S009914    ,Turisme,CLIO,RENAULT,Gris,A1,4
35,2018S003063    ,Motocicleta,Sport City,APRILIA,Gris,B,28
36,2018S003063    ,Taxi,PRIUS,TOYOTA,Negre/Groc,B,9
37,2018S006333    ,Motocicleta,Desconegut,HARLEY DAVIDSON,Negre,A,14
38,2018S006333    ,Taxi,CADDY,VOLKSWAGEN,Negre/Groc,B,10
39,2018S003370    ,Motocicleta,MEDLEY,PIAGGIO,Gris,A,8
40,2018S003370    ,Turisme,C 220,MERCEDES,Negre,B,15
41,2018S006948    ,Ciclomotor,NOVA 3000,EMCO,Verd,B,5
42,2018S006948    ,Motocicleta,Z800 ABS,KAWASAKI,Negre,A2,2
43,2018S004268    ,Motocicleta,FORZA,HONDA,Negre,B,10
44,2018S004268    ,Turisme,MUSA,LANCIA,MarrÃ³,B,32
45,2018S007512    ,Turisme,Superb,SKODA,Negre,B,14
46,2018S007512    ,Turisme,ZAFIRA,OPEL,Gris,B,34
